id,class
813,1
814,1
815,1
816,1
817,0
818,0
819,0
820,1
821,1
822,0
823,1
824,1
825,0
826,1
827,1
828,1
829,1
830,0
831,1
832,0
833,0
834,0
835,1
836,1
837,1
838,0
839,1
840,1
841,1
842,1
843,1
844,1
845,0
846,0
847,1
848,1
849,1
850,1
851,1
852,0
853,0
854,1
855,1
856,1
857,1
858,1
859,1
860,0
861,0
862,1
863,1
864,1
865,1
866,1
867,1
868,0
869,1
870,1
871,1
872,1
873,0
874,1
875,0
876,1
877,1
878,0
879,1
880,1
881,1
882,1
883,1
884,0
885,0
886,0
887,0
888,1
889,1
890,1
891,1
892,0
893,1
894,1
895,1
896,1
897,1
898,1
899,0
900,1
901,1
902,1
903,0
904,1
905,1
906,1
907,0
908,1
909,1
910,0
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,0
919,1
920,1
921,1
922,0
923,1
924,1
925,1
926,1
927,1
928,0
929,1
930,0
931,1
932,0
933,1
934,1
935,1
936,1
937,1
938,0
939,1
940,1
941,0
942,0
943,1
944,1
945,1
946,1
947,1
948,1
949,0
950,1
951,0
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,1
970,0
971,1
972,1
973,1
974,1
975,1
976,1
977,0
978,1
979,1
980,0
981,1
982,1
983,0
984,0
985,0
986,1
987,0
988,1
989,1
990,1
991,0
992,1
993,1
994,0
995,1
996,1
997,1
998,1
999,0
1000,1
1001,0
1002,0
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,0
1012,1
1013,1
1014,0
1015,1
1016,1
1017,1
1018,0
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,0
1027,1
1028,1
1029,1
1030,1
1031,1
1032,0
1033,1
1034,0
1035,0
1036,0
1037,1
1038,1
1039,0
1040,1
1041,1
1042,0
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,0
1050,0
1051,1
1052,0
1053,0
1054,1
1055,0
1056,1
1057,1
1058,1
1059,0
1060,1
1061,1
1062,0
1063,1
1064,1
1065,1
1066,1
1067,0
1068,1
1069,1
1070,1
1071,1
1072,1
1073,0
1074,1
1075,1
1076,0
1077,1
1078,0
1079,0
1080,0
1081,1
1082,1
1083,0
1084,1
1085,1
1086,1
1087,1
1088,1
1089,1
1090,1
1091,0
1092,1
1093,1
1094,1
1095,1
1096,0
1097,1
1098,0
1099,0
1100,0
1101,1
1102,1
1103,1
1104,1
1105,0
1106,1
1107,0
1108,0
1109,1
1110,1
1111,1
1112,1
1113,0
1114,0
1115,1
1116,0
1117,0
1118,1
1119,0
1120,1
1121,1
1122,0
1123,0
1124,1
1125,1
1126,1
1127,0
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,0
1137,1
1138,0
1139,1
1140,1
1141,0
1142,1
1143,1
1144,1
1145,0
1146,0
1147,1
1148,1
1149,1
1150,1
1151,0
1152,1
1153,1
1154,1
1155,0
1156,1
1157,1
1158,0
1159,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,0
1171,1
1172,1
1173,1
1174,1
1175,0
1176,1
1177,1
1178,0
1179,1
1180,0
1181,1
1182,1
1183,1
1184,1
1185,1
1186,0
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,0
1198,1
1199,0
1200,1
1201,1
1202,1
1203,1
1204,0
1205,1
1206,1
1207,1
1208,1
1209,1
1210,0
1211,0
1212,0
1213,0
1214,1
1215,0
1216,1
1217,0
1218,0
1219,1
1220,1
1221,0
1222,0
1223,1
1224,0
1225,1
1226,1
1227,1
1228,0
1229,1
1230,0
1231,1
1232,1
1233,1
1234,1
1235,1
1236,0
1237,0
1238,1
1239,1
1240,0
1241,1
1242,0
1243,1
1244,1
1245,1
1246,1
1247,1
1248,0
1249,0
1250,1
1251,1
1252,1
1253,1
1254,1
1255,1
1256,1
1257,1
1258,0
1259,0
1260,1
1261,0
1262,1
1263,1
1264,1
1265,0
1266,0
1267,1
1268,1
1269,1
1270,1
1271,1
1272,0
1273,1
1274,1
1275,1
1276,0
1277,0
1278,1
1279,1
1280,1
1281,0
1282,0
1283,0
1284,1
1285,1
1286,1
1287,1
1288,0
1289,1
1290,1
1291,0
1292,0
1293,1
1294,1
1295,1
1296,1
1297,0
1298,0
1299,1
1300,0
1301,1
1302,1
1303,1
1304,1
1305,1
1306,1
1307,0
1308,1
1309,1
1310,0
1311,1
1312,1
1313,0
1314,1
1315,0
1316,0
1317,1
1318,0
1319,1
1320,1
1321,0
1322,0
1323,0
1324,1
1325,1
1326,1
1327,1
1328,1
1329,1
1330,1
1331,1
1332,1
1333,0
1334,1
1335,1
1336,1
1337,1
1338,0
1339,0
1340,0
1341,0
1342,1
1343,1
1344,0
1345,0
1346,0
1347,0
1348,1
1349,1
1350,0
1351,1
1352,0
1353,0
1354,1
1355,1
1356,0
1357,1
1358,1
1359,1
1360,0
1361,1
1362,1
1363,1
1364,1
1365,0
1366,0
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,1
1377,1
1378,1
1379,1
1380,1
1381,1
1382,1
1383,1
1384,1
1385,1
1386,0
1387,1
1388,1
1389,0
1390,0
1391,1
1392,1
1393,1
1394,1
1395,1
1396,0
1397,1
1398,1
1399,1
1400,1
1401,0
1402,1
1403,1
1404,1
1405,1
1406,1
1407,1
1408,1
1409,1
1410,0
1411,1
1412,0
1413,0
1414,1
1415,1
1416,0
1417,0
1418,0
1419,1
1420,1
1421,0
1422,0
1423,1
1424,1
1425,1
1426,1
1427,1
1428,0
1429,1
1430,0
1431,0
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1438,1
1439,1
1440,1
1441,1
1442,1
1443,0
1444,1
1445,1
1446,1
1447,1
1448,1
1449,1
1450,1
1451,1
1452,1
1453,0
1454,1
1455,1
1456,1
1457,1
1458,0
1459,0
1460,0
1461,1
1462,1
1463,1
1464,0
1465,0
1466,1
1467,1
1468,1
1469,0
1470,1
1471,1
1472,1
1473,1
1474,1
1475,1
1476,0
1477,1
1478,1
1479,1
1480,1
1481,1
1482,0
1483,1
1484,1
1485,1
1486,1
1487,0
1488,0
1489,1
1490,1
1491,0
1492,1
1493,0
1494,1
1495,0
1496,1
1497,1
1498,0
1499,1
1500,0
1501,0
1502,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,1
1510,1
1511,1
1512,0
1513,0
1514,1
1515,1
1516,1
1517,0
1518,1
1519,1
1520,1
1521,1
1522,1
1523,0
1524,0
1525,0
1526,1
1527,1
1528,0
1529,1
1530,1
1531,0
1532,0
1533,1
1534,1
1535,1
1536,0
1537,1
1538,1
1539,0
1540,1
1541,1
1542,1
1543,1
1544,1
1545,1
1546,0
1547,1
1548,1
1549,1
1550,0
1551,1
1552,0
1553,0
1554,1
1555,1
1556,0
1557,1
1558,1
1559,1
1560,0
1561,1
1562,1
1563,1
1564,1
1565,1
1566,1
1567,0
1568,1
1569,1
1570,0
1571,1
1572,1
1573,1
1574,0
1575,1
1576,0
1577,0
1578,1
1579,1
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,1
1588,0
1589,1
1590,0
1591,1
1592,0
1593,1
1594,1
1595,1
1596,1
1597,1
1598,1
1599,1
1600,1
1601,1
1602,1
1603,1
1604,1
1605,0
1606,0
1607,1
1608,1
1609,1
1610,1
1611,0
1612,0
1613,0
1614,0
1615,1
1616,1
1617,0
1618,1
1619,1
1620,1
1621,1
1622,0
1623,1
1624,0
1625,1
1626,1
1627,1
1628,0
1629,1
1630,1
1631,1
1632,0
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1640,1
1641,1
1642,1
1643,1
1644,1
1645,1
1646,0
1647,1
1648,0
1649,0
1650,1
1651,1
1652,0
1653,0
1654,1
1655,0
1656,1
1657,1
1658,1
1659,0
1660,1
1661,1
1662,1
1663,1
1664,1
1665,1
1666,1
1667,1
1668,1
1669,0
1670,1
1671,0
1672,1
1673,1
1674,1
1675,0
1676,1
1677,1
1678,0
1679,1
1680,1
1681,1
1682,1
1683,1
1684,0
1685,0
1686,1
1687,1
1688,1
1689,1
1690,1
1691,1
1692,1
1693,1
1694,1
1695,0
1696,1
1697,1
1698,1
1699,1
1700,1
1701,1
1702,1
1703,1
1704,1
1705,1
1706,1
1707,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,1
1714,1
1715,0
1716,1
1717,1
1718,1
1719,1
1720,0
1721,1
1722,1
1723,0
1724,1
1725,1
1726,0
1727,1
1728,0
1729,1
1730,1
1731,0
1732,1
1733,1
1734,0
1735,1
1736,0
1737,1
1738,0
1739,0
1740,1
1741,1
1742,1
1743,1
1744,0
1745,0
1746,1
1747,1
1748,1
1749,1
1750,1
1751,1
1752,1
1753,0
1754,1
1755,1
1756,0
1757,1
1758,1
1759,1
1760,1
1761,1
1762,0
1763,1
1764,0
1765,0
1766,0
1767,0
1768,1
1769,0
1770,1
1771,1
1772,1
1773,1
1774,1
1775,1
1776,0
1777,1
1778,1
1779,1
1780,1
1781,1
1782,1
1783,1
1784,0
1785,1
1786,0
1787,1
1788,1
1789,0
1790,1
1791,1
1792,1
1793,0
1794,1
1795,1
1796,1
1797,1
1798,1
1799,0
1800,1
1801,1
1802,0
1803,1
1804,1
1805,1
1806,1
1807,1
1808,1
1809,1
1810,1
1811,1
1812,1
1813,1
1814,0
1815,0
1816,1
1817,1
1818,1
1819,0
1820,1
1821,1
1822,1
1823,0
1824,1
1825,0
1826,1
1827,0
1828,1
1829,1
1830,1
1831,1
1832,1
1833,0
1834,0
1835,0
1836,1
1837,1
1838,1
1839,1
1840,1
1841,1
1842,0
1843,1
1844,0
1845,1
1846,1
1847,1
1848,0
1849,0
1850,1
1851,1
1852,1
1853,1
1854,0
1855,1
1856,0
1857,1
1858,1
1859,1
1860,1
1861,1
1862,1
1863,1
1864,1
1865,1
1866,0
1867,0
1868,0
1869,0
1870,1
1871,1
1872,1
1873,0
1874,0
1875,1
1876,1
1877,0
1878,0
1879,0
1880,0
1881,1
1882,1
1883,0
1884,1
1885,1
1886,1
1887,1
1888,1
1889,1
1890,1
1891,0
1892,1
1893,1
1894,0
1895,1
1896,1
1897,1
1898,1
1899,1
1900,0
1901,1
1902,1
1903,1
1904,1
1905,1
1906,0
1907,0
1908,1
1909,1
1910,1
1911,1
1912,1
1913,1
1914,1
1915,0
1916,1
1917,1
1918,0
1919,1
1920,1
1921,0
1922,1
1923,0
1924,1
1925,1
1926,0
1927,1
1928,1
1929,1
1930,1
1931,0
1932,0
1933,1
1934,1
1935,0
1936,0
1937,0
1938,1
1939,1
1940,1
1941,1
1942,1
1943,1
1944,1
1945,0
1946,1
1947,0
1948,1
1949,1
1950,0
1951,1
1952,1
1953,1
1954,1
1955,1
1956,1
1957,1
1958,0
1959,1
1960,1
1961,1
1962,1
1963,1
1964,1
1965,0
1966,0
1967,1
1968,1
1969,0
1970,1
1971,0
1972,1
1973,1
1974,0
1975,1
1976,1
1977,0
1978,0
1979,0
1980,1
1981,1
1982,1
1983,0
1984,0
1985,1
1986,1
1987,1
1988,0
1989,1
1990,1
1991,0
1992,1
1993,1
1994,1
1995,0
1996,1
1997,0
1998,0
1999,1
2000,0
2001,1
2002,0
2003,1
2004,1
2005,1
2006,1
2007,1
2008,0
2009,1
2010,1
2011,1
2012,1
2013,1
2014,1
2015,1
2016,0
2017,0
2018,0
2019,1
2020,1
2021,0
2022,0
2023,0
2024,0
2025,0
2026,1
2027,1
2028,1
2029,1
2030,0
2031,1
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,0
2040,0
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,0
2048,0
2049,1
2050,1
2051,0
2052,0
2053,1
2054,1
2055,0
2056,1
2057,1
2058,1
2059,1
2060,1
2061,1
2062,0
2063,1
2064,1
2065,1
2066,0
2067,1
2068,0
2069,1
2070,0
2071,1
2072,1
2073,1
2074,1
2075,1
2076,1
2077,0
2078,1
2079,1
2080,0
2081,1
2082,1
2083,0
2084,1
2085,0
2086,1
2087,1
2088,1
2089,0
2090,1
2091,1
2092,0
2093,1
2094,0
2095,1
2096,1
2097,1
2098,0
2099,1
2100,1
2101,1
2102,1
2103,1
2104,1
2105,0
2106,0
2107,1
2108,0
2109,1
2110,1
2111,1
2112,1
2113,1
2114,1
2115,1
2116,1
2117,1
2118,1
2119,1
2120,0
2121,0
2122,1
2123,1
2124,1
2125,1
2126,1
2127,0
2128,0
2129,1
2130,1
2131,1
2132,0
2133,0
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2140,0
2141,1
2142,1
2143,1
2144,1
2145,1
2146,1
2147,0
2148,1
2149,0
2150,1
2151,0
2152,1
2153,1
2154,1
2155,0
2156,1
2157,1
2158,0
2159,0
2160,1
2161,1
2162,1
2163,1
2164,0
2165,1
2166,1
2167,0
2168,1
2169,0
2170,0
2171,0
2172,1
2173,0
2174,0
2175,0
2176,1
2177,1
2178,1
2179,1
2180,1
2181,0
2182,1
2183,1
2184,1
2185,0
2186,0
2187,1
2188,1
2189,1
2190,1
2191,1
2192,0
2193,1
2194,1
2195,0
2196,1
2197,1
2198,0
2199,1
2200,1
2201,0
2202,0
2203,0
2204,0
2205,1
2206,0
2207,1
2208,1
2209,1
2210,1
2211,0
2212,1
2213,0
2214,1
2215,1
2216,1
2217,1
2218,1
2219,1
2220,1
2221,1
2222,1
2223,1
2224,0
2225,0
2226,0
2227,1
2228,1
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2235,1
2236,0
2237,0
2238,1
2239,1
2240,1
2241,0
2242,0
2243,1
2244,1
2245,1
2246,1
2247,1
2248,1
2249,1
2250,1
2251,1
2252,1
2253,1
2254,1
2255,0
2256,1
2257,1
2258,1
2259,0
2260,1
2261,1
2262,1
2263,0
2264,0
2265,1
2266,1
2267,1
2268,1
2269,0
2270,1
2271,0
2272,1
2273,1
2274,1
2275,0
2276,1
2277,1
2278,1
2279,1
2280,1
2281,1
2282,1
2283,1
2284,1
2285,0
2286,0
2287,1
2288,1
2289,1
2290,0
2291,0
2292,0
2293,1
2294,1
2295,1
2296,1
2297,0
2298,0
2299,1
2300,1
2301,0
2302,1
2303,0
2304,0
2305,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,0
2312,1
2313,1
2314,1
2315,1
2316,1
2317,1
2318,1
2319,0
2320,1
2321,1
2322,0
2323,1
2324,1
2325,1
2326,1
2327,0
2328,1
2329,1
2330,1
2331,1
2332,1
2333,0
2334,1
2335,1
2336,1
2337,0
2338,0
2339,1
2340,1
2341,1
2342,1
2343,1
2344,0
2345,1
2346,1
2347,1
2348,0
2349,0
2350,1
2351,1
2352,1
2353,1
2354,1
2355,0
2356,1
2357,0
2358,0
2359,1
2360,1
2361,1
2362,1
2363,0
2364,1
2365,1
2366,1
2367,0
2368,1
2369,0
2370,1
2371,1
2372,1
2373,1
2374,0
2375,1
2376,1
2377,1
2378,0
2379,1
2380,0
2381,1
2382,1
2383,0
2384,1
2385,1
2386,1
2387,1
2388,1
2389,1
2390,1
2391,1
2392,1
2393,1
2394,1
2395,1
2396,0
2397,1
2398,1
2399,1
2400,1
2401,1
2402,1
2403,1
2404,0
2405,0
2406,1
2407,1
2408,1
2409,1
2410,0
2411,1
2412,1
2413,0
2414,1
2415,1
2416,1
2417,0
2418,1
2419,1
2420,1
2421,1
2422,1
2423,1
2424,1
2425,1
2426,0
2427,0
2428,1
2429,1
2430,1
2431,1
2432,1
2433,1
2434,1
2435,1
2436,0
2437,1
2438,1
2439,1
2440,1
2441,1
2442,1
2443,1
2444,1
2445,1
2446,0
2447,1
2448,1
2449,1
2450,0
2451,0
2452,0
2453,0
2454,0
2455,1
2456,1
2457,1
2458,1
2459,1
2460,1
2461,1
2462,0
2463,0
2464,1
2465,1
2466,1
2467,0
2468,1
2469,1
2470,1
2471,0
2472,1
2473,1
2474,1
2475,1
2476,0
2477,1
2478,1
2479,0
2480,1
2481,0
2482,1
2483,1
2484,1
2485,0
2486,1
2487,1
2488,0
2489,1
2490,0
2491,1
2492,0
2493,1
2494,1
2495,1
2496,1
2497,1
2498,0
2499,1
2500,1
2501,1
2502,0
2503,1
2504,1
2505,0
2506,1
2507,1
2508,0
2509,1
2510,1
2511,0
2512,1
2513,1
2514,1
2515,1
2516,1
2517,1
2518,1
2519,0
2520,0
2521,0
2522,0
2523,0
2524,0
2525,1
2526,1
2527,1
2528,0
2529,0
2530,1
2531,1
2532,1
2533,0
2534,1
2535,1
2536,1
2537,1
2538,1
2539,1
2540,1
2541,1
2542,1
2543,1
2544,1
2545,1
2546,1
2547,0
2548,0
2549,0
2550,1
2551,0
2552,1
2553,0
2554,0
2555,0
2556,1
2557,1
2558,1
2559,1
2560,1
2561,1
2562,1
2563,0
2564,1
2565,1
2566,1
2567,0
2568,1
2569,1
2570,1
2571,1
2572,1
2573,1
2574,0
2575,1
2576,1
2577,0
2578,0
2579,1
2580,0
2581,0
2582,1
2583,0
2584,1
2585,0
2586,1
2587,1
2588,1
2589,0
2590,0
2591,1
2592,0
2593,1
2594,0
2595,1
2596,1
2597,1
2598,0
2599,1
2600,1
2601,1
2602,1
2603,1
2604,1
2605,1
2606,1
2607,0
2608,1
2609,1
2610,0
2611,1
2612,1
2613,1
2614,0
2615,1
2616,1
2617,1
2618,1
2619,1
2620,0
2621,1
2622,0
2623,1
2624,1
2625,0
2626,1
2627,1
2628,1
2629,0
2630,0
2631,1
2632,1
2633,1
2634,1
2635,0
2636,1
2637,0
2638,1
2639,1
2640,1
2641,0
2642,0
2643,1
2644,0
2645,1
2646,1
2647,0
2648,1
2649,1
2650,1
2651,1
2652,1
2653,0
2654,1
2655,0
2656,1
2657,1
2658,1
2659,0
2660,1
2661,0
2662,0
2663,1
2664,1
2665,1
2666,1
2667,0
2668,1
2669,1
2670,0
2671,0
2672,0
2673,1
2674,1
2675,1
2676,0
2677,1
2678,0
2679,1
2680,1
2681,1
2682,1
2683,0
2684,1
2685,1
2686,0
2687,1
2688,0
2689,1
2690,0
2691,1
2692,1
2693,1
2694,1
2695,1
2696,0
2697,1
2698,1
2699,1
2700,1
2701,1
2702,0
2703,0
2704,1
2705,0
2706,1
2707,1
2708,0
2709,1
2710,1
2711,1
2712,1
2713,1
2714,1
2715,1
2716,0
2717,1
2718,0
2719,1
2720,1
2721,0
2722,0
2723,0
2724,1
2725,1
2726,1
2727,1
2728,0
2729,0
2730,1
2731,0
2732,0
2733,0
2734,1
2735,0
2736,0
2737,1
2738,0
2739,1
2740,1
2741,0
2742,0
2743,1
2744,0
2745,1
2746,0
2747,0
2748,1
2749,1
2750,1
2751,1
2752,1
2753,1
2754,0
2755,1
2756,0
2757,1
2758,1
2759,1
2760,0
2761,0
2762,1
2763,1
2764,1
2765,1
2766,1
2767,1
2768,0
2769,1
2770,1
2771,1
2772,1
2773,1
2774,1
2775,1
2776,1
2777,1
2778,0
2779,1
2780,1
2781,0
2782,0
2783,0
2784,1
2785,1
2786,1
2787,0
2788,1
2789,1
2790,1
2791,1
2792,1
2793,1
2794,1
2795,0
2796,1
2797,0
2798,1
2799,1
2800,1
2801,1
2802,0
2803,1
2804,1
2805,0
2806,1
2807,1
2808,1
2809,1
2810,1
2811,0
2812,0
2813,1
2814,0
2815,0
2816,0
2817,1
2818,0
2819,0
2820,1
2821,1
2822,1
2823,1
2824,1
2825,1
2826,1
2827,0
2828,0
2829,1
2830,0
2831,1
2832,1
2833,1
2834,0
2835,1
2836,1
2837,1
2838,1
2839,0
2840,1
2841,1
2842,1
2843,0
2844,1
2845,1
2846,1
2847,0
2848,1
2849,0
2850,0
2851,1
2852,1
2853,0
2854,1
2855,1
2856,1
2857,1
2858,1
2859,0
2860,1
2861,1
2862,1
2863,1
2864,1
2865,1
2866,1
2867,0
2868,1
2869,1
2870,1
2871,1
2872,1
2873,0
2874,1
2875,0
2876,1
2877,1
2878,1
2879,1
2880,1
2881,1
2882,1
2883,1
2884,1
2885,1
2886,1
2887,1
2888,1
2889,1
2890,0
2891,1
2892,1
2893,1
2894,1
2895,0
2896,1
2897,1
2898,1
2899,1
2900,1
2901,1
2902,1
2903,1
2904,1
2905,1
2906,0
2907,0
2908,1
2909,0
2910,0
2911,0
2912,0
2913,1
2914,1
2915,1
2916,1
2917,1
2918,1
2919,1
2920,0
2921,1
2922,1
2923,1
2924,1
2925,1
2926,1
2927,1
2928,0
2929,0
2930,1
2931,1
2932,1
2933,1
2934,1
2935,1
2936,1
2937,0
2938,1
2939,1
2940,0
2941,1
2942,1
2943,0
2944,1
2945,1
2946,1
2947,1
2948,1
2949,1
2950,0
2951,0
2952,1
2953,1
2954,0
2955,0
2956,0
2957,1
2958,0
2959,1
2960,1
2961,1
2962,0
2963,1
2964,0
2965,1
2966,1
2967,1
2968,1
2969,1
2970,1
2971,1
2972,0
2973,1
2974,1
2975,1
2976,0
2977,1
2978,1
2979,0
2980,1
2981,1
2982,1
2983,0
2984,1
2985,1
2986,0
2987,0
2988,0
2989,1
2990,1
2991,0
2992,1
2993,1
2994,0
2995,1
2996,1
2997,0
